scenario_id,scenario_name,method,delta_median,coverage_90,rank_pct,dispersion,delta_maxDD,pct_positive
01,bull_bull_bull,cpcv,9.3867517652372,0,0.0,0.8241161578275389,0.22908156584384987,1.0
01,bull_bull_bull,wf,7.924255713377049,0,0.0,3.4493469664593164,0.18089171118154776,0.5
01,bull_bull_bull,kfold,6.9406574838741335,0,0.0,5.233967444845167,0.21308693647221205,0.8
02,bear_bear_bear,cpcv,-0.48426893244018077,1,0.8,1.2441781005308505,0.00035519222368818326,0.6
02,bear_bear_bear,wf,-0.8669973396226857,0,1.0,0.010049386504393937,-0.03221309771516756,1.0
02,bear_bear_bear,kfold,-1.960416312848098,1,0.6,4.550758702433975,-0.3790025017879186,0.4
03,stagnant_all,cpcv,-2.6224524480740303,0,1.0,1.141842559737383,-0.1042698193905843,0.4
03,stagnant_all,wf,-3.44717768151881,0,1.0,1.8755411852957387,-0.24005398993772506,0.5
03,stagnant_all,kfold,-3.413695536710532,1,0.8,4.6747013654691765,-0.28946399326048766,0.4
04,crash_in_dev_start,cpcv,8.101185468826824,0,0.0,0.5126433889210494,0.23143276162656926,1.0
04,crash_in_dev_start,wf,8.71016800442488,0,0.0,2.8264183428248613,0.23999032234647222,1.0
04,crash_in_dev_start,kfold,9.046511351969194,0,0.0,2.961804431873374,0.23999032234647222,1.0
05,crash_in_dev_end,cpcv,2.5190894363816465,0,0.0,0.7025830923689311,-0.585680109178567,0.0
05,crash_in_dev_end,wf,0.9735259539154022,1,0.5,4.395537606460483,-0.2816144562379015,0.5
05,crash_in_dev_end,kfold,4.142410564664562,1,0.2,10.966486203494755,-1.0444178966435549,0.6
06,crash_in_retrain,cpcv,-4.054791985370098,0,1.0,0.8014887651251984,-0.6655946730198049,0.0
06,crash_in_retrain,wf,-1.8522269018939466,0,1.0,0.17621802494581842,-0.458677463578597,1.0
06,crash_in_retrain,kfold,-0.8662563694400598,0,1.0,2.326604325304529,-0.2952358921665757,0.6
