scenario_id,scenario_name,method,holdout_sr,delta,bias,z_score,coverage_90,rank_pct,dispersion,delta_maxDD,pct_positive
01,bull_bull_bull,cpcv,3.976568507737778,-1.5543250652565508,-0.3908709386578097,1.7753991446485688,0,1.0,0.8754792238926202,-0.21846012420240213,1.0
01,bull_bull_bull,wf,3.976568507737778,-2.247639469680225,-0.5652208594688288,,0,1.0,0.0,-0.09139865178797738,1.0
01,bull_bull_bull,kfold,3.976568507737778,-1.2801025859815245,-0.321911362394649,,0,1.0,0.0,-0.2202110435638126,1.0
02,bear_bear_bear,cpcv,0.214525845717651,0.42156104920348036,1.9650827982672052,-0.46742825416550376,1,0.2,0.9018732724150152,-0.1409856191956056,0.8
02,bear_bear_bear,wf,0.214525845717651,1.0976162912201946,5.116475767981945,,0,0.0,0.0,-0.06539227479024456,1.0
02,bear_bear_bear,kfold,0.214525845717651,1.3053901887325408,6.0850019463418645,,0,0.0,0.0,-0.23340261550718944,1.0
03,stagnant_all,cpcv,1.169500215291482,-1.5555318365919462,-1.3300825568503645,1.6996905010944536,0,1.0,0.9151853443849444,-0.16772746781933076,0.4
03,stagnant_all,wf,1.169500215291482,-4.39996760493587,-3.762263185081362,,0,1.0,0.0,-0.377130331981529,0.0
03,stagnant_all,kfold,1.169500215291482,-1.9300817855454646,-1.6503475247881148,,0,1.0,0.0,-0.2638731389665766,0.0
04,crash_in_dev_start,cpcv,2.7144128050901912,-0.6159243802931464,-0.2269088839907242,0.7368331930030726,1,0.8,0.8359074837316376,-0.0704907152547376,1.0
04,crash_in_dev_start,wf,2.7144128050901912,-1.5430573845086801,-0.5684682085256407,,0,1.0,0.0,-0.1892647487037778,1.0
04,crash_in_dev_start,kfold,2.7144128050901912,-1.402275433925501,-0.5166036025529683,,0,1.0,0.0,-0.049582773529561364,1.0
05,crash_in_dev_end,cpcv,-3.992005902369459,1.6284788559551329,0.4079349820070526,-0.9342154700466028,1,0.2,1.7431512409807313,-1.4039028303317749,0.0
05,crash_in_dev_end,wf,-3.992005902369459,3.1102023011026287,0.7791076409121953,,0,0.0,0.0,-0.39105209139580027,0.0
05,crash_in_dev_end,kfold,-3.992005902369459,1.6741983560624423,0.4193877456615784,,0,0.0,0.0,-1.2204546504518399,0.0
06,crash_in_retrain,cpcv,8.878006282935397,-11.086436977657376,-1.2487529997547817,12.85752291871822,0,1.0,0.8622529431013136,-0.9218627428829758,0.0
06,crash_in_retrain,wf,8.878006282935397,-8.400001382711881,-0.9461585309820856,,0,1.0,0.0,-0.41747302629649047,1.0
06,crash_in_retrain,kfold,8.878006282935397,-11.703618581921674,-1.3182710406972167,,0,1.0,0.0,-1.1800462668873644,0.0
07,crash_in_holdout_start,cpcv,3.132098073572739,-6.279647774435256,-2.0049333152815847,3.285304098728883,0,1.0,1.9114357714602173,-0.6393284504304046,0.2
07,crash_in_holdout_start,wf,3.132098073572739,-5.183895594053945,-1.6550872521500422,,0,1.0,0.0,-0.49075541614461005,0.0
07,crash_in_holdout_start,kfold,3.132098073572739,-6.9724544187793,-2.226129021185445,,0,1.0,0.0,-0.8248708815880372,0.0
08,crash_in_holdout_end,cpcv,-0.7714677598830526,0.13307173760157875,0.17249163804557588,-0.19037700126515558,1,0.4,0.6989906171294162,0.36129863507367166,0.4
08,crash_in_holdout_end,wf,-0.7714677598830526,1.561502933794201,2.024067647403581,,0,0.0,0.0,0.3683850711431955,1.0
08,crash_in_holdout_end,kfold,-0.7714677598830526,1.3598834705049914,1.7627223601815027,,0,0.0,0.0,0.43744335438705206,1.0
09,bull_then_crash_holdout,cpcv,1.9542360655411628,-0.291496748789724,-0.14916148255047343,0.18983237901893651,1,0.6,1.5355480993084223,0.5355205932800263,0.8
09,bull_then_crash_holdout,wf,1.9542360655411628,-2.3282493074777344,-1.1913859070209107,,0,1.0,0.0,0.2931317024176462,0.0
